RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,1,Magnier PaulSoudal Quick-Step,Soudal Quick-Step,40,50,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,2,Kanter MaxXDS Astana Team,XDS Astana Team,25,30,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,3,Meeus JordiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,18,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,4,Pedersen Rasmus SøjbergDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,13,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,5,Kogut OdedIsrael - Premier Tech,Israel - Premier Tech,10,10,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,6,Gaviria FernandoMovistar Team,Movistar Team,8,7,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,7,Aniołkowski StanisławCofidis,Cofidis,6,4,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,8,Pollefliet GianlucaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,3,3,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,9,Lozouet LéandreArkéa - B&B Hotels,Arkéa - B&B Hotels,2,2,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,10,Van Gestel DriesSoudal Quick-Step,Soudal Quick-Step,1,1,2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,11,Einhorn ItamarIsrael - Premier Tech,Israel - Premier Tech,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,12,Donaldson RobertTeam Jayco AlUla,Team Jayco AlUla,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,13,Giddings JoshuaLotto,Lotto,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,14,Paquot TomIntermarché - Wanty,Intermarché - Wanty,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,15,Černý JosefSoudal Quick-Step,Soudal Quick-Step,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,16,Doull OwainEF Education - EasyPost,EF Education - EasyPost,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,17,Peters NansDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,18,Charmig AnthonXDS Astana Team,XDS Astana Team,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,19,van den Berg MarijnEF Education - EasyPost,EF Education - EasyPost,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,20,Nordhagen JørgenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,21,Norsgaard MathiasMovistar Team,Movistar Team,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,22,Valgren MichaelEF Education - EasyPost,EF Education - EasyPost,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,23,Hatherly AlanTeam Jayco AlUla,Team Jayco AlUla,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,24,Cimolai DavideMovistar Team,Movistar Team,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,25,Oliveira IvoUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,26,Großschartner FelixUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,27,Zwiehoff BenRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,28,Maas JanCofidis,Cofidis,"","",2025-10-16 16:27:41
tour-of-guangxi,2025,1,Stage 1,Normal stage,14/10,29,Costiou EwenArkéa - B&B Hotelsfav_gc,Arkéa - B&B Hotels,"","",2025-10-16 16:27:41
